Atomic Number,Symbol,Name,Group,Period,Atomic Weight
89,Ac,Actinium,3,7,227
13,Al,Aluminium,13,3,26.9815385
95,Am,Americium,3,7,243
51,Sb,Antimony,15,5,121.76
18,Ar,Argon,18,3,39.948
33,As,Arsenic,15,4,74.921595
85,At,Astatine,17,6,210
56,Ba,Barium,2,6,137.327
97,Bk,Berkelium,3,7,247
4,Be,Beryllium,2,2,9.0121831
83,Bi,Bismuth,15,6,208.9804
5,B,Boron,13,2,10.81
35,Br,Bromine,17,4,79.904
48,Cd,Cadmium,12,5,112.414
55,Cs,Caesium,1,6,132.905452
20,Ca,Calcium,2,4,40.078
98,Cf,Californium,3,7,251
6,C,Carbon,14,2,12.011
58,Ce,Cerium,3,6,140.116
17,Cl,Chlorine,17,3,35.45
24,Cr,Chromium,6,4,51.9961
27,Co,Cobalt,9,4,58.933194
29,Cu,Copper,11,4,63.546
96,Cm,Curium,3,7,247
66,Dy,Dysprosium,3,6,162.5
99,Es,Einsteinium,3,7,252
68,Er,Erbium,3,6,167.259
63,Eu,Europium,3,6,151.964
100,Fm,Fermium,3,7,257
9,F,Fluorine,17,2,18.99840316
87,Fr,Francium,1,7,223
64,Gd,Gadolinium,3,6,157.25
31,Ga,Gallium,13,4,69.723
32,Ge,Germanium,14,4,72.63
79,Au,Gold,11,6,196.966569
72,Hf,Hafnium,4,6,178.49
2,He,Helium,18,1,4.002602
67,Ho,Holmium,3,6,164.93033
1,H,Hydrogen,1,1,1.008
49,In,Indium,13,5,114.818
53,I,Iodine,17,5,126.90447
77,Ir,Iridium,9,6,192.217
26,Fe,Iron,8,4,55.845
36,Kr,Krypton,18,4,83.798
57,La,Lanthanum,3,6,138.90547
103,Lr,Lawrencium,3,7,266
82,Pb,Lead,14,6,207.2
3,Li,Lithium,1,2,6.94
71,Lu,Lutetium,3,6,174.9668
12,Mg,Magnesium,2,3,24.305
25,Mn,Manganese,7,4,54.938044
101,Md,Mendelevium,3,7,258
80,Hg,Mercury,12,6,200.592
42,Mo,Molybdenum,6,5,95.95
60,Nd,Neodymium,3,6,144.242
10,Ne,Neon,18,2,20.1797
93,Np,Neptunium,3,7,237
28,Ni,Nickel,10,4,58.6934
41,Nb,Niobium,5,5,92.90637
7,N,Nitrogen,15,2,14.007
102,No,Nobelium,3,7,259
76,Os,Osmium,8,6,190.23
8,O,Oxygen,16,2,15.999
46,Pd,Palladium,10,5,106.42
15,P,Phosphorus,15,3,30.973762
78,Pt,Platinum,10,6,195.084
94,Pu,Plutonium,3,7,244
84,Po,Polonium,16,6,209
19,K,Potassium,1,4,39.0983
59,Pr,Praseodymium,3,6,140.90766
61,Pm,Promethium,3,6,145
91,Pa,Protactinium,3,7,231.03588
88,Ra,Radium,2,7,226
86,Rn,Radon,18,6,222
75,Re,Rhenium,7,6,186.207
45,Rh,Rhodium,9,5,102.9055
37,Rb,Rubidium,1,5,85.4678
44,Ru,Ruthenium,8,5,101.07
104,Rf,Rutherfordium,4,7,267
62,Sm,Samarium,3,6,150.36
21,Sc,Scandium,3,4,44.955908
34,Se,Selenium,16,4,78.971
14,Si,Silicon,14,3,28.085
47,Ag,Silver,11,5,107.8682
11,Na,Sodium,1,3,22.98976928
38,Sr,Strontium,2,5,87.62
16,S,Sulfur,16,3,32.06
73,Ta,Tantalum,5,6,180.94788
43,Tc,Technetium,7,5,98
52,Te,Tellurium,16,5,127.6
65,Tb,Terbium,3,6,158.92535
81,Tl,Thallium,13,6,204.38
90,Th,Thorium,3,7,232.0377
69,Tm,Thulium,3,6,168.93422
50,Sn,Tin,14,5,118.71
22,Ti,Titanium,4,4,47.867
74,W,Tungsten,6,6,183.84
92,U,Uranium,3,7,238.02891
23,V,Vanadium,5,4,50.9415
54,Xe,Xenon,18,5,131.293
70,Yb,Ytterbium,3,6,173.045
39,Y,Yttrium,3,5,88.90584
30,Zn,Zinc,12,4,65.38
40,Zr,Zirconium,4,5,91.224
